,nonReportChem,Community,Facility,primary_naics,industry,num_reporting
13,CHLORINE,0,UNIVAR USA INC - GENEVA BRANCH,424690,Other Chemical and Allied Products Merchant Wholesalers ,2
0,CHLORINE,0,ANOPLATE CORP,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",1
2,CHLORINE,0,EVANS CHEMETICS LP,325199,All Other Basic Organic Chemical Manufacturing ,1
3,CHLORINE,0,"ASTRO ELECTROPLATING,INC",332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",1
4,CHLORINE,0,PRECIOUS PLATE INC,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",1
6,CHLORINE,0,GENERAL SUPER PLATING CO,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",1
10,CHLORINE,0,ISLECHEM LLC,325199,All Other Basic Organic Chemical Manufacturing ,1
12,CHLORINE,0,TRIPLE CITIES METAL FINISHING CORP,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",1
14,CHLORINE,0,MOMENTIVE SPECIALTY CHEMICALS INC - MOREAU FACILITY,325199,All Other Basic Organic Chemical Manufacturing ,1
15,CHLORINE,0,UNITED BIOCHEMICALS,325199,All Other Basic Organic Chemical Manufacturing ,1
16,CHLORINE,0,GOODYEAR TIRE & RUBBER CO,325199,All Other Basic Organic Chemical Manufacturing ,1
17,CHLORINE,0,NIACET CORP,325199,All Other Basic Organic Chemical Manufacturing ,1
18,CHLORINE,0,HARTCHROM INC,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",1
0,CHLORINE DIOXIDE,0,KNOWLTON TECHNOLOGIES LLC,322121,Paper (except Newsprint) Mills ,2
0,CHLOROACETIC ACID,0,ARCH CHEMICALS INC,325199,All Other Basic Organic Chemical Manufacturing ,2
1,CHLOROACETIC ACID,0,ISLECHEM LLC,325199,All Other Basic Organic Chemical Manufacturing ,2
2,CHLOROACETIC ACID,0,MOMENTIVE SPECIALTY CHEMICALS INC - MOREAU FACILITY,325199,All Other Basic Organic Chemical Manufacturing ,2
3,CHLOROACETIC ACID,0,UNITED BIOCHEMICALS,325199,All Other Basic Organic Chemical Manufacturing ,2
4,CHLOROACETIC ACID,0,GOODYEAR TIRE & RUBBER CO,325199,All Other Basic Organic Chemical Manufacturing ,2
2,CHROMIUM,0,ANOPLATE CORP,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
3,CHROMIUM,0,ROCHESTER SILVER WORKS LLC,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",2
7,CHROMIUM,0,"ASTRO ELECTROPLATING,INC",332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
8,CHROMIUM,0,PRECIOUS PLATE INC,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
9,CHROMIUM,0,AMES GOLDSMITH CORP,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",2
18,CHROMIUM,0,TRIPLE CITIES METAL FINISHING CORP,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
19,CHROMIUM,0,MATERION ADVANCED MATERIALS TECHNOLOGIES & SERVICES INC,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",2
20,CHROMIUM,0,JAMESTOWN ELECTRO PLATING WORKS INC,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
0,CHROMIUM,0,RED-ROCHESTER LLC - EASTMAN BUSINESS PARK,221112,Fossil Fuel Electric Power Generation ,1
1,CHROMIUM,0,CAYUGA OPERATING CO LLC,221112,Fossil Fuel Electric Power Generation ,1
4,CHROMIUM,0,SYRACUSE ENERGY CORP,221112,Fossil Fuel Electric Power Generation ,1
5,CHROMIUM,0,HUNTLEY GENERATING STATION,221112,Fossil Fuel Electric Power Generation ,1
6,CHROMIUM,0,DUNKIRK STEAM STATION,221112,Fossil Fuel Electric Power Generation ,1
10,CHROMIUM,0,SAINT-GOBAIN ADVANCED CERAMICS -STRUCTURAL CERAMICS,327120,Clay Building Material and Refractories Manufacturing ,1
11,CHROMIUM,0,CAITHNESS LONG ISLAND ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
12,CHROMIUM,0,INDECK-CORINTH ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
13,CHROMIUM,0,INDECK-OLEAN ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
14,CHROMIUM,0,PSEG POWER NY LLC BETHLEHEM ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
15,CHROMIUM,0,BROOKLYN NAVY YARD COGENERATION FACILITY,221112,Fossil Fuel Electric Power Generation ,1
16,CHROMIUM,0,GLENWOOD LANDING ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
17,CHROMIUM,0,CHARLES POLETTI POWER PROJECT & 500 MW PLANT,221112,Fossil Fuel Electric Power Generation ,1
3,COPPER,0,ANOPLATE CORP,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
7,COPPER,0,"ASTRO ELECTROPLATING,INC",332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
18,COPPER,0,TRIPLE CITIES METAL FINISHING CORP,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
20,COPPER,0,JAMESTOWN ELECTRO PLATING WORKS INC,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
21,COPPER,0,HARTCHROM INC,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
0,COPPER,0,RED-ROCHESTER LLC - EASTMAN BUSINESS PARK,221112,Fossil Fuel Electric Power Generation ,1
1,COPPER,0,CAYUGA OPERATING CO LLC,221112,Fossil Fuel Electric Power Generation ,1
2,COPPER,0,GLOBALFOUNDRIES FAB 8,334413,Semiconductor and Related Device Manufacturing ,1
4,COPPER,0,SYRACUSE ENERGY CORP,221112,Fossil Fuel Electric Power Generation ,1
5,COPPER,0,HUNTLEY GENERATING STATION,221112,Fossil Fuel Electric Power Generation ,1
6,COPPER,0,DUNKIRK STEAM STATION,221112,Fossil Fuel Electric Power Generation ,1
8,COPPER,0,REPUBLIC STEEL -  LACKAWANNA,331110,Iron and Steel Mills and Ferroalloy Manufacturing ,1
9,COPPER,0,LOCKHEED MARTIN CORP,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",1
10,COPPER,0,ELECTRONIC DEVICES INC,334413,Semiconductor and Related Device Manufacturing ,1
11,COPPER,0,CAITHNESS LONG ISLAND ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
12,COPPER,0,INDECK-CORINTH ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
13,COPPER,0,INDECK-OLEAN ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
